"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"sou tradutora, revisora e tenho uma empresa de traducao",mais de 20 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Não,"Sintra, ABRATES, ata/  atif",Sim,Não,dona de uma empresa de traducao,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,todos,Menos da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso).",Discordo totalmente.,Discordo totalmente.,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,feminino,36 a 45 anos,branca,usa
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Não,Interpretação,Ensino superior.,Não fiz.,Não,Não,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural",Raramente ou nunca,,Discordo parcialmente.,"Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,,Não.,Uso quando estou com pouco tempo.,masculino,46 a 55 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Sintra,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",português,inglês,Sim,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor cultural",Raramente ou nunca,"é contratada por você (ou seja, você paga do próprio bolso).",Concorda plenamente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, Wordfast","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Aposentadoria,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,"Sintra, ABRATES, ATP-Rio",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega",francês,português,Não,,,,,,,,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Wordfast","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,66 ou mais,branca,França 
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Mestrado,Não fiz.,Não,Não,"Sintra, ABRATES, ATA",Sim,Não,tradutor/a autônomo/a com CNPJ.,Agência de tradução do exterior,português,inglês,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados",Não.,"Arquivos fornecidos por clientes com softwares proprietários, chama PEMT Post-Editing of Machine Translation.",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Interpretação,Ensino superior.,Não fiz.,Sim,Não,"Sintra, ABRATES, APIC, Aiic",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Colega",inglês,português,Sim,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, informática e telecomunicações, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 10 a 15 anos,Não,Ensino de línguas,Pós-graduação lato sensu (especialização),Não fiz.,Não,Não,"Sintra, ATPP",Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Colega",português,francês,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,"Ensino de línguas, Interpretação, Adcocacia",Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Sintra,Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Empresas, judiciário ",italiano,português,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, Wordfast",Não.,,prefiro não dizer,prefiro não dizer,prefiro não dizer,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ATP-Rio",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Colega",português,inglês,Sim,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","corporativos / business, jurídicos, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Menos da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso)., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast","Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,66 ou mais,prefiro não dizer,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Aposentadoria do magistério estadual do RJ,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ATP-Rio",Não,Não,"tradutor/a autônomo/a sem CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução do exterior",português,inglês,Sim,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","jurídicos, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concorda plenamente.,Discordo totalmente.,"Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.",SWs proprietários de clientes,Não.,Quando a tradução automática é enviada pelo cliente para revisão.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,"Interpretação, Aposentadoria, aluguéis ",Mestrado,Cursos curtos para aprender a traduzir ,Sim,Sim,"Sintra, ABRATES, Associação de Tradutores Públicos ATP - Rio ",Não,Não,"tradutor/a autônomo/a sem CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,todos,Raramente ou nunca,Não trabalho com revisor ,Discordo parcialmente.,Concordo parcialmente.,"Sim, se o curso fosse apenas prático (sem conteúdo teórico).",Não uso.,Não.,Não uso,masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Sim,Sim,"Sintra, ABRATES, APTRAD",Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",alemão,italiano,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,Trados e MemoQ,"Sim, DeepL.",Uso para certos tipos de texto.,feminino,46 a 55 anos,branca,Brasil
Revisora e terminóloga,mais de 20 anos,Não,Revisão e/ou copydesque,Doutorado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz doutorado em tradução ou letras com ênfase em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Sim,Sempre ou quase sempre,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, acadêmicos - humanas e artes",Raramente ou nunca,,Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,trabalho numa empresa estrangeira mas nao faço tradução full time la ,Pós-graduação lato sensu (especialização),"Não fiz., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Não,Não,"funcionário/a de uma empresa não especializada em tradução., tradutor/a juramentado/a","Cliente direto, Empresa onde sou funcionário/a",inglês,português,Sim,Sempre ou quase sempre,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque faço melhor a tradução para o inglês que para o português., Aceito porque paga melhor que a tradução para o português.","corporativos / business, jurídicos, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concorda plenamente.,Concordo parcialmente.,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Engenharia e Auditoria/Consultoria de sistemas de gestão,Mestrado,Na Traducenter em Campinas,Sim,Sim,Sintra,Não,Não,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Sim,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,"é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, Wordfast",Traduka,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,"Ensino de línguas, Ensino de tradução e/ou interpretação, Interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Não,Não,"Sintra, ATPP",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Grupo do Facebook ou similar, Colega",português,inglês,Sim,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","corporativos / business, jurídicos, setor cultural, acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.), literário",Raramente ou nunca,,Concorda plenamente.,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Interpretação,Ensino superior.,Não fiz.,Sim,Não,"Sintra, ABRATES, APIC, Aiic",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Colega",inglês,português,Sim,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, informática e telecomunicações, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,"Ensino de línguas, Interpretação, M",Ensino superior.,Não fiz.,Não,Não,"Sintra, ABRATES",Não,Não,tradutor/a autônomo/a com CNPJ.,Cliente direto,italiano,português,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,"Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,"Revisão e/ou copydesque, Interpretação",Ensino superior.,Não fiz.,Sim,Sim,"Sintra, ABRATES",Não,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",português,inglês,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,"MemoQ, SDL Trados, Smartcat, Memsource, XTM","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ATA",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",espanhol,português,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",Transit NTX,"Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,66 ou mais,branca,Brasil
